,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,clusters,cluster
0,Monty Python's Flying Circus,SHOW,1969,TV-14,30,"['comedy', 'european']",United Kingdom of Great Britain and Northern Ireland (the),4,tt0063929,8.8,72895,3,dark pruple
1,Seinfeld,SHOW,1989,TV-PG,24,['comedy'],United States of America (the),9,tt0098904,8.9,302700,2,purple
2,Knight Rider,SHOW,1982,TV-PG,51,"['action', 'scifi', 'crime', 'drama']",United States of America (the),4,tt0083437,6.9,33760,0,light pink
3,Thomas & Friends,SHOW,1984,TV-Y,10,"['family', 'comedy', 'music', 'action', 'animation', 'fantasy', 'drama']",United Kingdom of Great Britain and Northern Ireland (the),24,tt0086815,6.5,4948,0,light pink
4,Saved by the Bell,SHOW,1989,TV-G,23,"['comedy', 'romance', 'family']",United States of America (the),5,tt0096694,7.1,34854,0,light pink
5,Wheel of Fortune,SHOW,1983,TV-G,26,['family'],United States of America (the),39,tt0072584,6.7,3126,0,light pink
6,Major Dad,SHOW,1989,TV-PG,24,"['comedy', 'family']",United States of America (the),4,tt0096643,6.4,2866,0,light pink
7,Fireman Sam,SHOW,1987,TV-Y,10,"['comedy', 'animation', 'family', 'crime', 'european']",United Kingdom of Great Britain and Northern Ireland (the),13,tt0329829,6.1,1759,0,light pink
8,Danger Mouse,SHOW,1981,TV-Y,15,"['comedy', 'family', 'scifi', 'animation', 'european']",United Kingdom of Great Britain and Northern Ireland (the),10,tt0081848,7.4,3514,0,light pink
9,High Risk,SHOW,1988,TV-PG,50,['comedy'],United States of America (the),1,tt0094478,3.8,6,0,light pink
10,Survivor,SHOW,2000,TV-PG,48,['reality'],United States of America (the),42,tt0239195,7.4,24368,0,light pink
11,Stargate SG-1,SHOW,1997,TV-PG,44,"['scifi', 'drama', 'action']",United States of America (the),10,tt0118480,8.4,90196,3,dark pruple
12,Pokémon,SHOW,1997,TV-Y7,22,"['scifi', 'action', 'comedy', 'fantasy', 'animation', 'family']",Japan,24,tt0168366,7.6,172,0,light pink
13,One Piece,SHOW,1999,TV-14,23,"['action', 'comedy', 'animation', 'drama', 'fantasy']",Japan,21,tt0388629,8.8,112586,3,dark pruple
14,Cowboy Bebop,SHOW,1998,TV-14,25,"['western', 'action', 'scifi', 'thriller', 'animation', 'comedy', 'drama']",Japan,1,tt0213338,8.9,112887,3,dark pruple
15,Star Trek: Deep Space Nine,SHOW,1993,TV-PG,47,"['scifi', 'action', 'drama']",United States of America (the),7,tt0106145,8.1,61145,3,dark pruple
16,The Challenge,SHOW,1998,TV-14,40,"['reality', 'comedy', 'drama', 'scifi']",United States of America (the),37,tt0176095,7.8,3274,0,light pink
17,Gilmore Girls,SHOW,2000,TV-14,46,"['comedy', 'drama']",United States of America (the),8,tt0238784,8.2,119054,3,dark pruple
18,Neon Genesis Evangelion,SHOW,1995,TV-14,24,"['scifi', 'action', 'drama', 'thriller', 'fantasy', 'animation']",Japan,1,tt0112159,8.5,64727,3,dark pruple
19,The Magic School Bus,SHOW,1994,TV-Y,26,"['scifi', 'comedy', 'family', 'fantasy', 'animation']",United States of America (the),4,tt0108847,7.8,9708,0,light pink
20,Power Rangers,SHOW,1993,TV-Y7,22,"['scifi', 'action', 'fantasy', 'family']",United States of America (the),29,tt0106064,6.5,21949,0,light pink
21,Adventures of Sonic the Hedgehog,SHOW,1993,TV-Y7,22,"['action', 'animation', 'scifi', 'western', 'fantasy', 'comedy', 'family']",United States of America (the),4,tt0222518,6.2,3808,0,light pink
22,Goosebumps,SHOW,1995,TV-PG,22,"['scifi', 'fantasy', 'horror', 'thriller', 'family', 'music']",Canada,4,tt0111987,7.6,13361,0,light pink
23,Yu-Gi-Oh!,SHOW,1998,TV-Y,22,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",Japan,7,tt4834194,7.2,20888,0,light pink
24,InuYasha,SHOW,2000,TV-14,25,"['action', 'comedy', 'scifi', 'animation', 'drama', 'fantasy', 'romance']",Japan,9,tt0290223,7.9,15823,0,light pink
25,Barney & Friends,SHOW,1992,TV-G,28,['family'],United States of America (the),14,tt0144701,3.8,9955,0,light pink
26,Moesha,SHOW,1996,TV-PG,21,"['drama', 'comedy', 'family']",United States of America (the),6,tt0115275,5.7,3713,0,light pink
27,"Sister, Sister",SHOW,1994,TV-PG,22,"['comedy', 'drama', 'family']",United States of America (the),6,tt0108927,6.2,12535,0,light pink
28,Cardcaptor Sakura,SHOW,1998,TV-Y7,25,"['scifi', 'comedy', 'drama', 'family', 'fantasy', 'romance', 'animation', 'action']",Japan,4,tt0221735,8,4936,0,light pink
