,title,type,release_year,runtime,genres,production_countries,seasons,imdb_score,imdb_votes
0,Five Came Back: The Reference Films,SHOW,1945,48,['documentation'],['US'],1,,
1,Taxi Driver,MOVIE,1976,113,"['crime', 'drama']",['US'],,8.3,795222
2,Monty Python and the Holy Grail,MOVIE,1975,91,"['comedy', 'fantasy']",['GB'],,8.2,530877
3,Life of Brian,MOVIE,1979,94,['comedy'],['GB'],,8,392419
4,The Exorcist,MOVIE,1973,133,['horror'],['US'],,8.1,391942
5,Monty Python's Flying Circus,SHOW,1969,30,"['comedy', 'european']",['GB'],4,8.8,72895
6,Dirty Harry,MOVIE,1971,102,"['thriller', 'crime', 'action']",['US'],,7.7,153463
7,My Fair Lady,MOVIE,1964,170,"['drama', 'music', 'romance', 'family']",['US'],,7.8,94121
8,The Blue Lagoon,MOVIE,1980,104,"['romance', 'drama']",['US'],,5.8,69053
9,Bonnie and Clyde,MOVIE,1967,110,"['drama', 'crime', 'action']",['US'],,7.7,111189
10,The Professionals,MOVIE,1966,117,"['western', 'action', 'european']",['US'],,7.3,16168
11,The Guns of Navarone,MOVIE,1961,158,"['war', 'action', 'drama']","['US', 'GB']",,7.5,50150
12,Lupin the Third: The Castle of Cagliostro,MOVIE,1979,100,"['comedy', 'animation', 'action', 'fantasy', 'family']",['JP'],,7.6,30277
13,Richard Pryor: Live in Concert,MOVIE,1979,78,"['comedy', 'documentation']",['US'],,8.1,5141
14,The Long Riders,MOVIE,1980,99,"['western', 'crime']",['US'],,6.9,11329
15,White Christmas,MOVIE,1954,115,"['romance', 'comedy', 'music']",['US'],,7.5,42373
16,Cairo Station,MOVIE,1958,77,"['drama', 'crime', 'comedy']",['EG'],,7.5,4385
17,The Queen,MOVIE,1968,68,['documentation'],['US'],,7.2,1117
18,Hitler: A Career,MOVIE,1977,150,"['documentation', 'history', 'european']",['DE'],,7.5,2416
19,FTA,MOVIE,1972,97,"['comedy', 'documentation', 'music']",['US'],,6.2,411
20,Saladin the Victorious,MOVIE,1963,186,"['drama', 'war', 'action', 'history', 'romance']",['EG'],,7.6,2470
21,Singapore,MOVIE,1960,158,"['drama', 'thriller', 'crime']",['IN'],,6.4,82
22,Dark Waters,MOVIE,1956,120,"['drama', 'action', 'romance', 'thriller']",['EG'],,6.7,590
23,Alexandria… Why?,MOVIE,1979,133,['drama'],['EG'],,7.2,1689
24,Raya and Sakina,MOVIE,1953,105,"['drama', 'thriller', 'crime', 'history']",['EG'],,6.8,231
25,No Longer Kids,MOVIE,1979,235,"['comedy', 'drama']",['EG'],,9,943
26,Amrapali,MOVIE,1966,120,['fantasy'],['IN'],,6.7,225
27,Dostana,MOVIE,1980,161,"['drama', 'comedy', 'romance', 'action', 'crime']",['IN'],,2.1,25
28,The Blazing Sun,MOVIE,1954,100,"['romance', 'crime', 'drama']",['EG'],,7.4,1219
29,The Return of the Prodigal Son,MOVIE,1976,124,"['drama', 'crime']","['DZ', 'EG']",,7.2,768
30,Prince,MOVIE,1969,152,['romance'],['IN'],,6.9,168
31,Lock Your Girls In,MOVIE,1980,230,['comedy'],['EG'],,,
32,The Witness Who Didn't See Anything,MOVIE,1976,217,['comedy'],['EG'],,,
33,The School of Mischief,MOVIE,1973,251,['comedy'],['EG'],,,
34,Manoranjan,MOVIE,1974,162,"['comedy', 'drama', 'romance']",['IN'],,6.5,236
35,"Beirut, Oh Beirut",MOVIE,1975,110,['drama'],['LB'],,6.5,106
36,We Are All for the Fatherland,MOVIE,1979,74,['documentation'],"['FR', 'LB', 'CA']",,6.2,43
37,Whispers,MOVIE,1980,93,['documentation'],"['FR', 'LB', 'CA']",,7.8,75
38,Lal Patthar,MOVIE,1971,153,['drama'],['IN'],,6.2,137
39,Ujala,MOVIE,1959,142,"['romance', 'crime', 'drama']",['IN'],,6.7,78
40,Alibaba Aur 40 Chor,MOVIE,1979,138,"['drama', 'action', 'romance', 'family', 'fantasy']","['IN', 'SU']",,6.2,555
41,Professor,MOVIE,1962,163,"['romance', 'comedy', 'drama']",['IN'],,6.8,285
42,Chadi Jawani Budhe Nu,MOVIE,1976,135,['romance'],['IN'],,4.6,14
43,Bandie,MOVIE,1978,141,"['drama', 'romance', 'action']",['IN'],,4.2,35
44,Khoon Khoon,MOVIE,1973,131,"['drama', 'crime', 'thriller']",['IN'],,5.1,41
45,Top Gun,MOVIE,1986,110,"['drama', 'action']",['US'],,6.9,329656
46,Seinfeld,SHOW,1989,24,['comedy'],['US'],9,8.9,302700
47,Stand by Me,MOVIE,1986,89,['drama'],['US'],,8.1,392790
48,Once Upon a Time in America,MOVIE,1984,229,"['drama', 'crime', 'european']","['US', 'IT']",,8.3,342335
49,When Harry Met Sally...,MOVIE,1989,96,"['romance', 'comedy', 'drama']",['US'],,7.7,212913
50,Teenage Mutant Ninja Turtles,MOVIE,1990,93,"['scifi', 'action', 'comedy', 'family']","['HK', 'US']",,6.7,92647
51,Full Metal Jacket,MOVIE,1987,116,"['drama', 'war']","['GB', 'US']",,8.3,723306
52,Christine,MOVIE,1983,90,"['horror', 'thriller', 'european']",['US'],,6.7,80945
53,A Nightmare on Elm Street,MOVIE,1984,91,['horror'],['US'],,7.4,230543
54,Knight Rider,SHOW,1982,51,"['action', 'scifi', 'crime', 'drama']",['US'],4,6.9,33760
55,Awakenings,MOVIE,1990,120,"['drama', 'european']",['US'],,7.8,137549
56,Thomas & Friends,SHOW,1984,10,"['family', 'comedy', 'music', 'action', 'animation', 'fantasy', 'drama']",['GB'],24,6.5,4948
57,Annie,MOVIE,1982,127,"['drama', 'family', 'comedy']",['US'],,6.6,44866
58,Pet Sematary,MOVIE,1989,103,"['horror', 'fantasy', 'thriller']",['US'],,6.5,102212
59,Saved by the Bell,SHOW,1989,23,"['comedy', 'romance', 'family']",['US'],5,7.1,34854
60,She's Gotta Have It,MOVIE,1986,84,"['comedy', 'romance']",['US'],,6.7,14277
61,Eddie Murphy Raw,MOVIE,1987,93,"['comedy', 'documentation']",['US'],,7.6,19646
62,Endless Love,MOVIE,1981,116,"['drama', 'romance']",['US'],,4.9,8374
63,Wheel of Fortune,SHOW,1983,26,['family'],['US'],39,6.7,3126
64,Major Dad,SHOW,1989,24,"['comedy', 'family']",['US'],4,6.4,2866
65,Fireman Sam,SHOW,1987,10,"['comedy', 'animation', 'family', 'crime', 'european']",['GB'],13,6.1,1759
66,Danger Mouse,SHOW,1981,15,"['comedy', 'family', 'scifi', 'animation', 'european']",['GB'],10,7.4,3514
67,Mobile Suit Gundam II: Soldiers of Sorrow,MOVIE,1981,133,"['scifi', 'drama', 'war', 'animation', 'action']",['JP'],,7.2,1242
68,Mobile Suit Gundam: Char's Counterattack,MOVIE,1988,120,"['scifi', 'animation', 'action', 'drama', 'war']",['JP'],,7.3,1649
69,Sam Kinison: Breaking the Rules,MOVIE,1987,50,"['comedy', 'documentation']",['US'],,7.2,651
70,Tim Allen: Men Are Pigs,MOVIE,1990,30,"['comedy', 'documentation']",['US'],,6,353
71,Monty Python Live at the Hollywood Bowl,MOVIE,1982,77,"['comedy', 'documentation']",['GB'],,7.9,15186
72,The George McKenna Story,MOVIE,1988,100,['drama'],['US'],,6,901
73,Unspeakable Acts,MOVIE,1990,100,['drama'],['US'],,6,448
74,Waiting for the Hearse,MOVIE,1985,87,['comedy'],['AR'],,8,6285
75,Mobile Suit Gundam III: Encounters in Space,MOVIE,1982,144,"['animation', 'action', 'drama', 'scifi', 'war']",['JP'],,7.7,1210
76,Agneepath,MOVIE,1990,174,"['action', 'crime', 'drama']",['IN'],,7.6,8902
77,Parrot Sketch Not Included: Twenty Years of Monty Python,MOVIE,1989,72,['comedy'],['GB'],,8.1,1522
78,Too Young The Hero,MOVIE,1988,100,"['drama', 'war']",['US'],,6.7,494
79,Adam: His Song Continues,MOVIE,1986,100,"['crime', 'drama']",['US'],,7,209
80,Disco Dancer,MOVIE,1982,134,"['drama', 'romance']",['IN'],,6.5,1449
81,The Ryan White Story,MOVIE,1989,102,['drama'],['US'],,7.2,857
82,In Defense of a Married Man,MOVIE,1990,94,"['drama', 'crime']",['US'],,5.6,200
83,Dil,MOVIE,1990,172,"['romance', 'comedy', 'drama']",['IN'],,6.6,5273
84,Bye Bye London,MOVIE,1982,170,"['comedy', 'drama']",['KW'],,8.7,154
85,Quiet Victory: The Charlie Wedemeyer Story,MOVIE,1988,100,['drama'],['US'],,7.1,144
86,"Alexandria, Again and Forever",MOVIE,1989,105,['drama'],"['EG', 'FR']",,6.5,643
87,Strange Voices,MOVIE,1987,100,['drama'],['US'],,6.3,357
88,Aakhri Adaalat,MOVIE,1988,148,"['action', 'crime', 'thriller']",['IN'],,5.1,92
89,A Stoning in Fulham County,MOVIE,1988,120,"['crime', 'drama', 'thriller']",['US'],,5.8,380
90,The Married Couples,MOVIE,1981,194,['drama'],['EG'],,,
91,Sayed The Servant,MOVIE,1985,166,['comedy'],['EG'],,,
92,Muqaddar Ka Faisla,MOVIE,1987,172,"['comedy', 'drama', 'family', 'action']",['IN'],,4.8,68
93,Sohni Mahiwal,MOVIE,1984,160,"['romance', 'action', 'drama']",['IN'],,6.1,297
94,The Little Wars,MOVIE,1982,108,"['drama', 'war', 'european']","['FR', 'LB']",,6.3,149
95,Bill Hicks: Sane Man,MOVIE,1989,81,['comedy'],['US'],,,
96,Duniya,MOVIE,1984,170,"['drama', 'action']",['IN'],,6.2,241
97,High Risk,SHOW,1988,50,['comedy'],['US'],1,3.8,6
98,Pyar Ke Do Pal,MOVIE,1986,153,"['drama', 'action']",['IN'],,6.1,65
99,Jaal,MOVIE,1986,159,"['drama', 'thriller', 'action']",['IN'],,5.2,122
100,Mujrim,MOVIE,1989,162,"['drama', 'action', 'crime']",['IN'],,5.4,188
101,An Egyptian Story,MOVIE,1982,129,"['fantasy', 'drama']",['EG'],,7.3,1113
102,Ek Jaan Hain Hum,MOVIE,1983,151,"['family', 'romance']",['IN'],,6.3,70
103,The Quick and the Dead,MOVIE,1995,107,"['western', 'thriller', 'action', 'romance']","['US', 'JP']",,6.5,92224
104,Survivor,SHOW,2000,48,['reality'],['US'],42,7.4,24368
105,Stargate SG-1,SHOW,1997,44,"['scifi', 'drama', 'action']","['US', 'CA']",10,8.4,90196
106,Pokémon,SHOW,1997,22,"['scifi', 'action', 'comedy', 'fantasy', 'animation', 'family']",['JP'],24,7.6,172
107,Forrest Gump,MOVIE,1994,142,"['drama', 'romance', 'comedy']",['US'],,8.8,1994599
108,Happy Gilmore,MOVIE,1996,92,"['comedy', 'sport']",['US'],,7,217534
109,One Piece,SHOW,1999,23,"['action', 'comedy', 'animation', 'drama', 'fantasy']",['JP'],21,8.8,112586
110,Saving Private Ryan,MOVIE,1998,169,"['drama', 'war']",['US'],,8.6,1346020
111,Cowboy Bebop,SHOW,1998,25,"['western', 'action', 'scifi', 'thriller', 'animation', 'comedy', 'drama']",['JP'],1,8.9,112887
112,Star Trek: Deep Space Nine,SHOW,1993,47,"['scifi', 'action', 'drama']",['US'],7,8.1,61145
113,The Challenge,SHOW,1998,40,"['reality', 'comedy', 'drama', 'scifi']",['US'],37,7.8,3274
114,Gattaca,MOVIE,1997,106,"['thriller', 'drama', 'scifi']",['US'],,7.8,298168
115,Gilmore Girls,SHOW,2000,46,"['comedy', 'drama']",['US'],8,8.2,119054
116,Blade,MOVIE,1998,120,"['action', 'scifi', 'horror']",['US'],,7.1,267181
117,You've Got Mail,MOVIE,1998,119,"['romance', 'drama', 'comedy']",['US'],,6.7,209258
118,Starship Troopers,MOVIE,1997,129,"['scifi', 'thriller', 'action']",['US'],,7.3,288960
119,Neon Genesis Evangelion,SHOW,1995,24,"['scifi', 'action', 'drama', 'thriller', 'fantasy', 'animation']",['JP'],1,8.5,64727
120,The Magic School Bus,SHOW,1994,26,"['scifi', 'comedy', 'family', 'fantasy', 'animation']","['US', 'CA']",4,7.8,9708
121,Donnie Brasco,MOVIE,1997,127,"['thriller', 'drama', 'crime']",['US'],,7.7,300073
122,Power Rangers,SHOW,1993,22,"['scifi', 'action', 'fantasy', 'family']",['US'],29,6.5,21949
123,U.S. Marshals,MOVIE,1998,126,"['thriller', 'crime', 'action']",['US'],,6.5,103263
124,Adventures of Sonic the Hedgehog,SHOW,1993,22,"['action', 'animation', 'scifi', 'western', 'fantasy', 'comedy', 'family']",['US'],4,6.2,3808
125,Wild Things,MOVIE,1998,108,"['drama', 'thriller', 'crime', 'european']",['US'],,6.6,118811
126,Last Action Hero,MOVIE,1993,130,"['comedy', 'action', 'fantasy']",['US'],,6.4,149290
127,Seven Years in Tibet,MOVIE,1997,136,"['drama', 'history', 'war']",['US'],,7.1,141308
128,The Devil's Advocate,MOVIE,1997,144,"['horror', 'thriller', 'drama']","['DE', 'US']",,7.5,361422
129,A River Runs Through It,MOVIE,1992,123,['drama'],['US'],,7.2,59086
130,"Girl, Interrupted",MOVIE,1999,127,"['drama', 'european']","['US', 'DE']",,7.3,180532
131,Goosebumps,SHOW,1995,22,"['scifi', 'fantasy', 'horror', 'thriller', 'family', 'music']","['CA', 'US']",4,7.6,13361
132,Yu-Gi-Oh!,SHOW,1998,22,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",['JP'],7,7.2,20888
133,InuYasha,SHOW,2000,25,"['action', 'comedy', 'scifi', 'animation', 'drama', 'fantasy', 'romance']",['JP'],9,7.9,15823
134,Any Given Sunday,MOVIE,1999,162,"['drama', 'sport']",['US'],,6.9,118479
135,Menace II Society,MOVIE,1993,97,"['drama', 'crime', 'thriller']",['US'],,7.5,57399
136,Desperado,MOVIE,1995,104,"['thriller', 'action', 'crime', 'western', 'european']",['US'],,7.1,183638
137,The Mask of Zorro,MOVIE,1998,136,"['action', 'thriller', 'western', 'comedy', 'romance']",['US'],,6.8,181306
138,The Patriot,MOVIE,2000,165,"['drama', 'action', 'history', 'war']","['DE', 'US']",,7.2,270231
139,Road Trip,MOVIE,2000,93,['comedy'],['US'],,6.5,167670
140,Free Willy,MOVIE,1993,112,"['drama', 'family']","['US', 'FR']",,6,75244
141,My First Errand,SHOW,1991,19,['reality'],['JP'],12,,
142,3 Ninjas Kick Back,MOVIE,1994,93,"['action', 'comedy', 'family', 'sport']","['US', 'JP']",,4.5,9208
143,In the Line of Fire,MOVIE,1993,128,"['drama', 'thriller', 'action', 'crime']",['US'],,7.2,101939
144,The Replacements,MOVIE,2000,118,"['comedy', 'sport']",['US'],,6.6,64087
145,Johnny Mnemonic,MOVIE,1995,97,"['scifi', 'thriller', 'action', 'drama']","['US', 'CA']",,5.6,71062
146,Little Women,MOVIE,1994,115,"['drama', 'family', 'romance']",['US'],,7.3,57621
147,Anaconda,MOVIE,1997,89,"['thriller', 'horror', 'action']","['PE', 'US', 'BR']",,4.8,103459
148,My Girl,MOVIE,1991,103,"['comedy', 'drama', 'family', 'romance', 'european']",['US'],,6.9,79800
