,title,type,release_year,age_certification,genres,production_countries,imdb_id,imdb_score,imdb_votes
5,Monty Python's Flying Circus,SHOW,1969,TV-14,"['comedy', 'european']",['GB'],tt0063929,8.8,72895.0
29,Monty Python's Fliegender Zirkus,SHOW,1972,TV-MA,['comedy'],[],tt0202477,8.1,2144.0
47,Seinfeld,SHOW,1989,TV-PG,['comedy'],['US'],tt0098904,8.9,302700.0
55,Knight Rider,SHOW,1982,TV-PG,"['action', 'scifi', 'crime', 'drama']",['US'],tt0083437,6.9,33760.0
57,Thomas & Friends,SHOW,1984,TV-Y,"['family', 'comedy', 'music', 'action', 'animation', 'fantasy', 'drama']",['GB'],tt0086815,6.5,4948.0
60,Saved by the Bell,SHOW,1989,TV-G,"['comedy', 'romance', 'family']",['US'],tt0096694,7.1,34854.0
64,Wheel of Fortune,SHOW,1983,TV-G,['family'],['US'],tt0072584,6.7,3126.0
65,Major Dad,SHOW,1989,TV-PG,"['comedy', 'family']",['US'],tt0096643,6.4,2866.0
66,Fireman Sam,SHOW,1987,TV-Y,"['comedy', 'animation', 'family', 'crime', 'european']",['GB'],tt0329829,6.1,1759.0
67,Danger Mouse,SHOW,1981,TV-Y,"['comedy', 'family', 'scifi', 'animation', 'european']",['GB'],tt0081848,7.4,3514.0
98,High Risk,SHOW,1988,TV-PG,['comedy'],['US'],tt0094478,3.8,6.0
105,Survivor,SHOW,2000,TV-PG,['reality'],['US'],tt0239195,7.4,24368.0
106,Stargate SG-1,SHOW,1997,TV-PG,"['scifi', 'drama', 'action']","['US', 'CA']",tt0118480,8.4,90196.0
107,Pokémon,SHOW,1997,TV-Y7,"['scifi', 'action', 'comedy', 'fantasy', 'animation', 'family']",['JP'],tt0168366,7.6,172.0
110,One Piece,SHOW,1999,TV-14,"['action', 'comedy', 'animation', 'drama', 'fantasy']",['JP'],tt0388629,8.8,112586.0
112,Cowboy Bebop,SHOW,1998,TV-14,"['western', 'action', 'scifi', 'thriller', 'animation', 'comedy', 'drama']",['JP'],tt0213338,8.9,112887.0
113,Star Trek: Deep Space Nine,SHOW,1993,TV-PG,"['scifi', 'action', 'drama']",['US'],tt0106145,8.1,61145.0
114,The Challenge,SHOW,1998,TV-14,"['reality', 'comedy', 'drama', 'scifi']",['US'],tt0176095,7.8,3274.0
116,Gilmore Girls,SHOW,2000,TV-14,"['comedy', 'drama']",['US'],tt0238784,8.2,119054.0
120,Neon Genesis Evangelion,SHOW,1995,TV-14,"['scifi', 'action', 'drama', 'thriller', 'fantasy', 'animation']",['JP'],tt0112159,8.5,64727.0
121,The Magic School Bus,SHOW,1994,TV-Y,"['scifi', 'comedy', 'family', 'fantasy', 'animation']","['US', 'CA']",tt0108847,7.8,9708.0
123,Power Rangers,SHOW,1993,TV-Y7,"['scifi', 'action', 'fantasy', 'family']",['US'],tt0106064,6.5,21949.0
125,Adventures of Sonic the Hedgehog,SHOW,1993,TV-Y7,"['action', 'animation', 'scifi', 'western', 'fantasy', 'comedy', 'family']",['US'],tt0222518,6.2,3808.0
132,Goosebumps,SHOW,1995,TV-PG,"['scifi', 'fantasy', 'horror', 'thriller', 'family', 'music']","['CA', 'US']",tt0111987,7.6,13361.0
133,Yu-Gi-Oh!,SHOW,1998,TV-Y,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",['JP'],tt4834194,7.2,20888.0
134,InuYasha,SHOW,2000,TV-14,"['action', 'comedy', 'scifi', 'animation', 'drama', 'fantasy', 'romance']",['JP'],tt0290223,7.9,15823.0
153,Barney & Friends,SHOW,1992,TV-G,['family'],['US'],tt0144701,3.8,9955.0
168,Moesha,SHOW,1996,TV-PG,"['drama', 'comedy', 'family']",['US'],tt0115275,5.7,3713.0
169,"Sister, Sister",SHOW,1994,TV-PG,"['comedy', 'drama', 'family']",['US'],tt0108927,6.2,12535.0
170,Cardcaptor Sakura,SHOW,1998,TV-Y7,"['scifi', 'comedy', 'drama', 'family', 'fantasy', 'romance', 'animation', 'action']",['JP'],tt0221735,8.0,4936.0
173,Girlfriends,SHOW,2000,TV-PG,"['comedy', 'drama']",['US'],tt0247102,7.2,4482.0
177,The Parkers,SHOW,1999,TV-PG,['comedy'],['US'],tt0200353,6.8,2346.0
182,Dale's Supermarket Sweep,SHOW,1993,TV-G,[],['GB'],tt0962853,7.1,39.0
187,Oggy and the Cockroaches,SHOW,1999,TV-Y7,"['comedy', 'family', 'action', 'animation', 'european']",['FR'],tt0213363,7.4,4185.0
188,H,SHOW,1998,TV-MA,['comedy'],['FR'],tt0173554,7.4,1703.0
191,Heartbreak High,SHOW,1994,TV-MA,"['drama', 'romance', 'comedy']",['AU'],tt0108800,7.8,3106.0
205,Okupas,SHOW,2000,TV-MA,"['crime', 'drama']",['AR'],tt0289649,9.0,2326.0
243,Breaking Bad,SHOW,2008,TV-MA,"['drama', 'thriller', 'crime']",['US'],tt0903747,9.5,1727694.0
244,The Walking Dead,SHOW,2010,TV-MA,"['action', 'drama', 'scifi', 'thriller', 'horror']",['US'],tt1520211,8.2,945125.0
245,The Staircase,SHOW,2004,TV-MA,"['crime', 'documentation', 'drama']",['FR'],tt0388644,7.8,21531.0
246,Downton Abbey,SHOW,2010,TV-14,"['drama', 'romance', 'european']",['GB'],tt1606375,8.7,197744.0
247,Grey's Anatomy,SHOW,2005,TV-14,"['drama', 'romance']",['US'],tt0413573,7.6,293618.0
248,The Great British Baking Show,SHOW,2010,TV-PG,"['reality', 'european']",['GB'],tt1877368,8.6,9564.0
249,Criminal Minds,SHOW,2005,TV-14,"['thriller', 'crime', 'drama']",['US'],tt0452046,8.1,189191.0
250,NCIS,SHOW,2003,TV-14,"['action', 'drama', 'crime', 'thriller', 'comedy']",['US'],tt0364845,7.8,141049.0
251,Community,SHOW,2009,TV-PG,['comedy'],['US'],tt1439629,8.5,252564.0
252,Heartland,SHOW,2007,TV-PG,"['drama', 'family']",['CA'],tt1094229,8.4,15743.0
253,Supernatural,SHOW,2005,TV-14,"['scifi', 'thriller', 'drama', 'fantasy', 'horror']",['US'],tt0460681,8.5,428639.0
256,Arrested Development,SHOW,2003,TV-MA,['comedy'],['US'],tt0367279,8.7,297552.0
257,The IT Crowd,SHOW,2006,TV-14,"['comedy', 'european']",['GB'],tt0487831,8.5,147409.0
258,30 Rock,SHOW,2006,TV-14,"['comedy', 'sport']",['US'],tt0496424,8.3,121514.0
259,Avatar: The Last Airbender,SHOW,2005,TV-Y7,"['scifi', 'family', 'fantasy', 'animation', 'action']",['US'],tt0417299,9.3,297336.0
263,Friday Night Lights,SHOW,2006,TV-14,"['drama', 'sport']",['US'],tt0758745,8.7,64449.0
266,My Little Pony: Friendship Is Magic,SHOW,2010,TV-Y7,"['scifi', 'animation', 'drama', 'fantasy', 'music', 'comedy', 'family']","['CA', 'US']",tt1751105,7.6,20708.0
267,The Fairly OddParents,SHOW,2001,TV-Y7,"['scifi', 'family', 'fantasy', 'animation', 'comedy']","['US', 'CA']",tt0235918,7.2,38046.0
269,Sonic X,SHOW,2003,TV-Y7,"['action', 'drama', 'thriller', 'animation', 'comedy', 'fantasy', 'family', 'scifi']",['JP'],tt0367413,6.1,4577.0
270,DEATH NOTE,SHOW,2006,TV-14,"['scifi', 'animation', 'crime', 'drama', 'fantasy', 'thriller']",['JP'],tt0877057,9.0,302147.0
272,The Vampire Diaries,SHOW,2009,TV-14,"['scifi', 'drama', 'thriller', 'fantasy', 'horror', 'romance']",['US'],tt1405406,7.7,310776.0
278,Naruto,SHOW,2002,TV-PG,"['scifi', 'comedy', 'animation', 'action', 'fantasy', 'thriller']",['JP'],tt0409591,8.4,93980.0
284,America's Next Top Model,SHOW,2003,TV-14,['reality'],['US'],tt0391576,5.6,17843.0
288,Chappelle's Show,SHOW,2003,TV-14,"['comedy', 'music']",['US'],tt0353049,8.8,62140.0
294,Trailer Park Boys,SHOW,2001,TV-MA,"['comedy', 'crime']",['CA'],tt0290988,8.6,41791.0
300,Borgen,SHOW,2010,TV-MA,"['drama', 'european']",['DK'],tt1526318,8.5,23523.0
302,iCarly,SHOW,2007,TV-G,"['comedy', 'family', 'romance']",['US'],tt0972534,6.7,38281.0
303,Victorious,SHOW,2010,TV-G,"['comedy', 'drama', 'family', 'music', 'romance', 'sport']",['US'],tt1604099,6.9,24224.0
306,Merlin,SHOW,2008,TV-PG,"['action', 'scifi', 'drama', 'fantasy', 'european']",['GB'],tt1199099,7.9,80138.0
326,Gurren Lagann,SHOW,2007,TV-14,"['scifi', 'action', 'comedy', 'drama', 'animation']",['JP'],tt0948103,8.3,17024.0
331,Code Geass: Lelouch of the Rebellion,SHOW,2006,TV-14,"['scifi', 'animation', 'action', 'drama', 'thriller', 'war']",['JP'],tt0994314,8.7,62367.0
353,Transformers: Prime,SHOW,2010,TV-Y7,"['action', 'comedy', 'drama', 'family', 'scifi', 'animation']",['US'],tt1659175,7.9,6500.0
358,The Mole,SHOW,2001,TV-14,['reality'],"['US', 'BE']",tt0294149,7.6,1104.0
366,The 4400,SHOW,2004,TV-14,"['scifi', 'thriller', 'drama']",['US'],tt0389564,7.3,44971.0
367,Still Game,SHOW,2002,TV-14,"['comedy', 'european']",['GB'],tt0281491,8.9,7539.0
369,Midnight Diner,SHOW,2009,TV-MA,"['drama', 'comedy']",['JP'],tt1882928,8.6,2110.0
370,H2O: Just Add Water,SHOW,2006,TV-PG,"['drama', 'scifi', 'fantasy', 'family']",['AU'],tt0491603,7.2,14782.0
371,Black Butler,SHOW,2008,TV-MA,"['scifi', 'fantasy', 'animation', 'comedy', 'drama', 'thriller', 'crime', 'horror', 'action']",['JP'],tt1316554,8.3,1856.0
372,Octonauts,SHOW,2010,TV-Y,"['action', 'animation', 'comedy', 'family']",['GB'],tt1710177,7.6,1049.0
374,Strawberry Shortcake,SHOW,2003,TV-Y,"['animation', 'family']",['US'],tt7996132,7.0,13.0
375,Total Drama Island,SHOW,2007,TV-PG,"['action', 'reality', 'animation', 'family', 'comedy', 'drama']",['CA'],tt1173427,7.4,10523.0
380,Boys Over Flowers,SHOW,2009,TV-14,"['comedy', 'drama', 'romance']",['KR'],tt1370334,7.9,11579.0
381,Winx Club,SHOW,2004,TV-G,"['action', 'comedy', 'family', 'fantasy', 'animation', 'thriller', 'european']",['IT'],tt3233214,6.2,6700.0
383,Big Time Rush,SHOW,2009,TV-G,"['comedy', 'family']",['US'],tt1131746,6.3,12046.0
388,Dead Set,SHOW,2008,TV-MA,"['scifi', 'thriller', 'comedy', 'drama', 'horror', 'european']",['GB'],tt1285482,7.6,19684.0
389,Toradora!,SHOW,2008,TV-14,"['animation', 'romance', 'comedy', 'drama']",['JP'],tt1279024,8.0,14307.0
394,Shaun the Sheep,SHOW,2007,TV-G,"['animation', 'comedy', 'family', 'european']",['GB'],tt0983983,8.0,25.0
399,Scare Tactics,SHOW,2003,TV-14,"['comedy', 'horror', 'reality', 'scifi', 'thriller']",['US'],tt0339968,6.7,2512.0
404,Pocoyo,SHOW,2005,TV-G,"['animation', 'family', 'comedy', 'european']","['ES', 'GB']",tt0487849,3.9,93.0
408,The Game,SHOW,2006,TV-14,"['comedy', 'drama', 'sport', 'romance']",['US'],tt10020984,6.6,4417.0
410,Angel Beats!,SHOW,2010,TV-14,"['scifi', 'action', 'comedy', 'drama', 'fantasy', 'animation']",['JP'],tt1639109,7.7,13848.0
